                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2391,                 3.8961,                 4.1894,                0.00352,                0.88667,                0.00725,                0.00163,                 3.4242,                 4.1571,                 4.0669,               0.070385,              0.0032906,              0.0032906
                      1,                 3.1119,                 3.6695,                 4.0092,                0.70725,                   0.08,                0.03524,                0.00699,                 3.0096,                 3.9556,                 3.8649,               0.040122,              0.0063616,              0.0063616
                      2,                 2.8669,                 3.3673,                 3.6864,                0.78189,                   0.12,                0.10605,                0.04191,                  2.656,                 5.2264,                 3.4368,               0.009596,              0.0091686,              0.0091686
                      3,                 2.5982,                 3.0132,                 3.3363,                0.73392,                0.09333,                0.06261,                0.02818,                  2.616,                 6.4647,                 3.3359,               0.008812,               0.008812,               0.008812
                      4,                 2.2627,                 2.7057,                 2.9641,                0.55391,                0.24833,                   0.24,                0.11711,                 2.1285,                 3.1981,                 2.8896,               0.008812,               0.008812,               0.008812
                      5,                 1.9477,                 2.3706,                 2.6314,                0.52858,                0.38338,                0.26241,                0.11596,                  1.925,                  3.737,                 2.8096,               0.008416,               0.008416,               0.008416
                      6,                 1.6094,                 1.9516,                 2.3088,                0.37424,                0.37147,                0.34925,                0.19647,                 1.8753,                 2.4065,                 2.7749,                0.00802,                0.00802,                0.00802
                      7,                 1.3947,                 1.6835,                 2.0617,                0.25095,                0.28111,                 0.2823,                0.15457,                 2.0189,                 2.5528,                 2.8002,               0.007624,               0.007624,               0.007624
                      8,                 1.2382,                 1.4949,                 1.8952,                0.86464,                0.56839,                0.64986,                0.43758,                 1.1154,                 1.2994,                 1.9074,               0.007228,               0.007228,               0.007228
                      9,                 1.0974,                 1.3299,                 1.7644,                  0.865,                0.56533,                0.58946,                0.47393,                0.86375,                 1.2467,                 1.6309,               0.006832,               0.006832,               0.006832
                     10,                  1.017,                 1.2303,                 1.6542,                 0.8439,                  0.485,                0.52559,                0.40148,                 1.0212,                 1.4274,                 1.8333,               0.006436,               0.006436,               0.006436
                     11,                0.94842,                 1.1414,                 1.5711,                0.97713,                0.59833,                0.74375,                0.53638,                0.73224,                0.86797,                 1.4382,                0.00604,                0.00604,                0.00604
                     12,                0.88013,                 1.0404,                 1.5084,                 0.6154,                0.97944,                0.79994,                0.58129,                0.69865,                0.80573,                  1.334,               0.005644,               0.005644,               0.005644
                     13,                0.84245,                 1.0055,                 1.4688,                0.61725,                0.99333,                0.98359,                0.63221,                0.62638,                 0.7004,                 1.2539,               0.005248,               0.005248,               0.005248
                     14,                0.80755,                0.95065,                 1.4309,                0.72189,                0.97944,                0.97923,                0.64452,                0.62108,                0.77315,                 1.2397,               0.004852,               0.004852,               0.004852
                     15,                0.65084,                0.80859,                 1.3368,                 0.9687,                0.64102,                0.67944,                0.59934,                0.57775,                0.63514,                 1.1791,               0.004456,               0.004456,               0.004456
                     16,                0.57921,                0.66532,                  1.271,                0.62982,                0.88794,                0.82863,                0.73555,                0.55924,                 0.5587,                  1.144,                0.00406,                0.00406,                0.00406
                     17,                0.54493,                0.60816,                 1.2255,                0.56721,                0.81777,                0.77066,                0.70131,                0.52034,                0.54843,                 1.0835,               0.003664,               0.003664,               0.003664
                     18,                0.51766,                0.54288,                 1.1961,                0.77454,                0.99333,                0.99349,                0.92229,                0.55495,                0.50385,                 1.1316,               0.003268,               0.003268,               0.003268
                     19,                0.49823,                0.51406,                 1.1781,                0.79707,                      1,                0.99474,                0.90131,                0.49184,                 0.4662,                 1.0564,               0.002872,               0.002872,               0.002872
                     20,                0.48674,                0.49048,                 1.1558,                0.99866,                0.66453,                0.82917,                0.76741,                0.48399,                0.44864,                 1.0357,               0.002476,               0.002476,               0.002476
